,dates,postcode,street,title,Year
25,10th March - 12th April 2015,W1D 3NE,21 Dean Street,"
Radiant Vermin ",2015
26,10th March - 17th May 2015,SW1P 4RG,Millbank,"
Nick Waplington & Alexander McQueen: Working Process ",2015
27,11th March - 02nd April 2015,E8 3DL,"24 Ashwin Street, Dalston","
Shrapnel: 34 Fragments of a Massacre ",2015
28,11th March - 02nd May 2015,SE1 1RU,53 Southwark Street,"
Buyer and Cellar ",2015
29,18th - 21st October 2018,SW11 4NJ,Battersea Park,"
Affordable Art Fair Battersea ",2015
30,12th March - 07th June 2015,W1U 3BN,"Hertford House, Manchester Square","
Joshua Reynolds: Experiments In Paint ",2015
31,12th March - 07th June 2015,WC2H 0HE,St Martin's Place,"
Wellington: Triumphs, Politics and Passions ",2015
32,12th - 20th March 2015,SW11 4AN,1 Hester Road,"
RCA Secret ",2015
33,12th March 2015,HA9 0DH,"Arena Square, Engineers Way","
The X Factor Live Tour 2015 ",2015
34,13th March - 08th July 2015,SE1 9PX,South Bank,"
Rules For Living ",2015
35,13th March 2015,N22 7AY,"Alexandra Palace Way, Wood Green","
Clean Bandit ",2015
36,13th - 15th March 2015,SW6 6EA,Bishops Avenue,"
The Great Home Hack ",2015
37,13th March 2015,W11 1QT,111-117 Lancaster Road,"
Lovely Day for a Guinness ",2015
38,14th March - 07th June 2015,W1S 3ES,6 Burlington Gardens,"
Richard Diebenkorn ",2015
39,14th March - 02nd August 2015,SW7 2RL,Cromwell Road,"
Alexander McQueen: Savage Beauty ",2015
40,18th March 2018,WC2N 5DS,Central London,"
St Patrick's Day Parade 2015 ",2015
41,28th February 2016,SE21 7LD,Dulwich Common,"
Midcentury Modern ",2015
42,16th March 2015,NW1 8EH,Chalk Farm Road,"
The Charlatans ",2015
43,17th - 18th March 2015,SE10 0BB,Peninsula Square,"
Spandau Ballet: Soulboys of the Western World Tour ",2015
44,28th - 31st March 2019,N22 7AY,"Alexandra Palace Way, Wood Green","
Country Living Magazine Spring Fair ",2015
45,18th - 22nd March 2015,SW3 5EE,Kings Road,"
Chelsea Antiques Fair ",2015
46,09th - 15th March 2016,SW3 4LY,Duke of York Square,"
BADA Antiques & Fine Art Fair 2015 ",2015
47,07th - 16th March 2018,EC2Y 8DS,Silk Street,"
Human Rights Watch Film Festival ",2015
48,18th - 21st March 2015,W1D 3NE,21 Dean Street,"
Hiraeth ",2015
49,08th February - 19th March 2016,SW1Y 4HT,Haymarket,"
Bad Jews ",2015
50,21st March - 01st April 2018,SE1 8XT,"Belvedere Road, South Bank","
BFI Flare: London LGBT Film Festival ",2015
51,20th March 2015,HA9 0DH,"Arena Square, Engineers Way","
All Time Low ",2015
52,20th March - 11th October 2015,SW1A 1AA,Birdcage Walk,"
Painting Paradise: The Art Of The Garden ",2015
53,20th - 22nd March 2015,N22 7AY,"Alexandra Palace Way, Wood Green","
The Edible Garden Show and Good Life Live ",2015
54,20th - 21st March 2015,SE10 0BB,Peninsula Square,"
The X Factor Live Tour 2015 ",2015
55,17th March - 02nd April 2018,W14 8UX,Hammersmith Road,"
Ideal Home Show ",2015
56,21st March 2015,HA9 0DH,"Arena Square, Engineers Way","
Rodrigo y Gabriela ",2015
57,21st - 29th March 2015,SW11 4NJ,"Albert Bridge Road, Battersea Park","
Carters Steam Fair ",2015
58,19th March 2017,SW4 9DE,Windmill Drive,"
Where's Wally? Fun Run ",2015
59,23rd March 2015,SE1 8XX,Belvedere Road,"
English National Ballet: The Emerging Dancer ",2015
60,24th March - 02nd May 2015,SW1E 5JA,12 Palace Street,"
The Three Lions ",2015
61,24th March - 12th July 2015,E2 8EA,136 Kingsland Road,"
Homes of the Homeless: Seeking Shelter in Victorian London ",2015
62,24th - 26th March 2015,EC1R 4TN,Rosebery Avenue,"
Northern Ballet: The Great Gatsby ",2015
63,25th - 28th March 2015,WC2E 9DD,"Bow Street, Covent Garden","
Shobana Jeyasingh Dance Company: La Bayadere ",2015
64,25th March 2015,SE10 0BB,Peninsula Square,"
Paloma Faith ",2015
65,25th - 27th March 2015,SW9 9SL,211 Stockwell Road,"
Sam Smith ",2015
66,25th March - 21st June 2015,SE1 7LB,Lambeth Palace Road,"
Russell Page ",2015
67,26th - 29th March 2015,E2 6DG,London,"
The Robin Collective: The Cherry Rooms ",2015
68,27th March - 13th September 2015,SW7 5BD,Cromwell Road,"
Coral Reefs: Secret Cities of the Sea ",2015
69,27th March - 14th April 2015,WC2E 9DD,Bow Street,"
The Royal Ballet: The Four Temperaments | Hofesh Shechter | Song of the Earth ",2015
70,27th March 2015,NW1 8EH,Chalk Farm Road,"
Nick Mulvey ",2015
71,28th March 2015,SE10 0BB,Peninsula Square,"
Nicki Minaj: The PinkPrint Tour ",2015
72,28th March - 31st August 2015,SE10 9NF,Park Row,"
Against Captain's Orders: A Journey Into The Uncharted ",2015
73,28th March - 28th November 2015,WC2R 0ET,"Savoy Court, Strand","
Gypsy ",2015
74,28th March - 25th May 2015,EC2M 2QS,Broadgate,"
Shaun in the City ",2015
75,30th March - 12th April 2015,WC2N 4ES,St Martin's Lane,"
Sweeney Todd: The Demon Barber of Fleet Street, A Musical Thriller ",2015
76,01st April - 31st October 2015,SW3 4HS,66 Royal Hospital Garden,"
World Woodland Garden ",2015
77,01st April - 09th May 2015,N4 3JP,11 Clifton Terrace,"
Dead Sheep ",2015
78,01st April - 19th July 2015,SW7 2RL,Cromwell Road,"
All Of This Belongs To You ",2015
79,01st April 2015,E1 8JB,"Graces Alley, Off Ensign Street","
Saint Saviour ",2015
80,01st April - 13th September 2015,WC2N 5DN,Trafalgar Square,"
Frames in Focus: Sansovino Frames ",2015
81,01st April - 31st August 2015,SE21 7AD,"Gallery Road, Dulwich Village","
Ravilious ",2015
82,02nd April - 25th September 2016,SE1 6HZ,"Lambeth Road, Elephant and Castle","
Visions of War Above and Below ",2015
83,29th March - 07th April 2018,WC2A 2HT,Portugal Street,"
English National Ballet: My First Ballet: Swan Lake ",2015
84,02nd April 2015,W12 8TT,Shepherd's Bush Green,"
The Subways ",2015
85,24th - 27th March 2016,NW1 7PG,5 Parkway,"
The London International Ska Festival ",2015
86,29th March - 16th September 2018,SW7 5BD,Cromwell Road,"
Sensational Butterflies ",2015
87,03rd April 2015,E20 3EL,Queen Elizabeth Olympic Park,"
Good Friday Meeting ",2015
88,04th - 05th April 2015,SE10 0BB,Peninsula Square,"
McBusted ",2015
89,04th - 11th April 2015,WC2E 9DD,"Bow Street, Covent Garden","
Opera North: Swanhunter (Over 7s) ",2015
90,04th April 2015,NW1 7JE,1A Camden High Street,"
Buttoned Down Disco's Easter Party at KOKO ",2015
91,06th April 2015,NW1 4NR,Inner Circle,"
London Easter 10K ",2015
92,07th April - 31st May 2015,SW1W 8AS,Sloane Square,"
Roald Dahl's The Twits ",2015
93,08th - 09th April 2015,W12 8TT,Shepherd's Bush Green,"
James Bay ",2015
94,09th April - 30th August 2015,SE1 7NN,10 Leake Street,"
Alice's Adventures Underground ",2015
95,07th April - 17th July 2016,SE1 8XX,Belvedere Road,"
Udderbelly Festival ",2015
96,06th - 07th April 2018,SW1P 2PE,80 Vincent Square,"
RHS London Orchid Show ",2015
97,10th April - 23rd May 2015,N1 1TA,Almeida Street,"
Carmen Disruption ",2015
98,11th June - 04th September 2016,W6 0QA,"Lyric Square, 2 King Street","
Bugsy Malone ",2015
99,11th - 25th April 2015,EC2Y 8DS,Silk Street,"
English National Opera: Between Worlds ",2015
100,27th March 2016,SW6 3JD,Between Fulham and Putney,"
The BNY Mellon Boat Race: Oxford vs Cambridge ",2015
101,07th April 2019,E1 5AR,Buxton Street,"
Oxford vs Cambridge Goat Race ",2015
102,14th April - 03rd May 2015,NW1 8EH,Chalk Farm Road,"
Circolombia ",2015
103,14th - 18th April 2015,WC2N 4ES,St Martin's Lane,"
Diana Vishneva: On The Edge ",2015
104,14th April 2015,EC2Y 8DS,Silk Street,"
Joyce DiDonato: Into The Fire ",2015
105,14th - 15th April 2015,SW1P 2PE,80 Vincent Square,"
RHS Great London Plant Fair ",2015
106,14th April - 09th May 2015,SW1Y 6LT,16B Jermyn Street,"
A Level Playing Field ",2015
107,14th April - 09th May 2015,N1 1QN,115 Upper Street,"
Mrs Roosevelt Flies to London ",2015
108,14th April - 23rd May 2015,SE1 8LZ,66 The Cut,"
Ah, Wilderness! ",2015
109,15th - 25th April 2015,EC2Y 8DS,Silk Street,"
Measure For Measure ",2015
110,15th April - 09th August 2015,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Sonia Delaunay ",2015
111,15th April 2015,E8 1EJ,291 Mare Street,"
Caitlin Moran ",2015
112,15th April 2015,SE10 0BB,Peninsula Square,"
Sting & Paul Simon: On Stage Together ",2015
113,15th April - 22nd May 2015,SW1A 2DY,14 Whitehall,"
Golem ",2015
114,16th - 18th April 2015,N22 7AY,"Alexandra Palace Way, Wood Green","
Ben Howard ",2015
115,16th April - 05th May 2015,WC2E 9DD,Bow Street,"
The Royal Ballet: La Fille Mal Gardee ",2015
116,16th April - 27th June 2015,WC2H 0DA,Charing Cross Road,"
American Buffalo ",2015
117,16th - 19th April 2015,SW3 5EE,Kings Road,"
Chelsea Art Fair ",2015
118,16th April 2015,SE1 7LB,Lambeth Palace Road,"
Wild Gardens ",2015
119,8th March to 2nd June 2019,W1F 7LW,16-18 Ramillies Street,"
Deutsche Borse Photography Prize ",2015
120,08th - 10th April 2016,N1C 4AA,"Granary Building, 1 Granary Square","
Ceramic Art London ",2015
121,17th April 2015,WC1H 0AH,15 Gordon Street,"
Stand Up For SIDS ",2015
122,17th April - 15th May 2015,WC2N 4BD ,112 St Martin's Lane ,"
Edible Stories, a Culinary Adventure ",2015
123,18th April 2015,WC2N 5DW,London,"
Record Store Day ",2015
124,18th April - 28th June 2015,N1 2DN,14 Dagmar Passage,"
The Paper Dolls ",2015
125,19th April 2015,SE1 9DT,"21 New Globe Walk, Bankside","
Shakespeare's Birthday ",2015
126,19th - 20th April 2015,W8 5SA,99 Kensington High Street,"
Rooftop Film Club at The Roof Gardens ",2015
127,21st April - 25th July 2015,W1D 7EZ,29 Shaftesbury Avenue,"
The Audience ",2015
128,21st - 25th April 2015,SW19 1QG,The Broadway,"
Matthew Bourne's The Car Man ",2015
129,22nd April 2019,W2 2UH,Rangers Lodge,"
The Queen's Birthday Gun Salutes ",2015
130,23rd - 26th April 2015,HA9 0DH,"Arena Square, Engineers Way","
Disney On Ice Presents Magical Ice Festival ",2015
131,25th - 28th April 2019,W1J 0BD,Burlington House,"
The London Original Print Fair ",2015
132,14th - 17th March 2019,E1 6QL,91 Brick Lane,"
The Other Art Fair ",2015
133,21st April - 02nd May 2016,WC2R 1LA,Strand,"
Pick Me Up ",2015
134,23rd April - 11th July 2015,WC1E 7BT,26 Store Street,"
Public London ",2015
135,24th April - 07th May 2015,WC2H 9LD,"41 Earlham Street, Seven Dials","
The Vote ",2015
136,18th April to 6th May 2019,WC2R 1LA,Strand,"
Sony World Photography Awards Exhibition ",2015
137,25th April - 27th September 2015,SW7 2RL,Cromwell Road,"
What Is Luxury? ",2015
138,20th April 2019,WC2N 5DS,Central London,"
Feast of St George in Trafalgar Square ",2015
139,21st - 22nd May 2016,SW7 2AR,1 Kensington Gore,"
Vogue Festival ",2015
140,25th - 26th April 2015,SW9 8LQ,389 Coldharbour Lane,"
Crafty Fox Market ",2015
141,25th April 2015,SE1 9BU,1 Bank End,"
Indulge With Oz Clarke ",2015
142,Saturday 11th May 2019,W1U 5BA,"St Marylebone Parish Church Grounds, Marylebone High Street","
Cabbages and Frocks: Dog Day Afternoon ",2015
143,28th April 2019,SW1Y 5AH,Westminster,"
Virgin London Marathon 2015 ",2015
144,27th April - 09th May 2015,EC2Y 8DS,Silk Street,"
A Mad World My Masters ",2015
145,29th April - 01st August 2015,WC2N 4BG,St Martins Lane,"
Hay Fever ",2015
146,30th April - 22nd August 2015,SE1 8NB,103 The Cut,"
High Society ",2015
147,28th - 31st March 2019,E1 6QL,91 Brick Lane,"
The London Coffee Festival ",2015
148,27th April 2019,WC2N 5DS,Central London,"
Vaisakhi Festival ",2015
149,01st - 03rd May 2015, SE11 4TH,2 Dugard Way ,"
London Sketchfest ",2015
150,"3rd, 4th and 5th May 2019",EC1R 4TN,Rosebery Avenue,"
Breakin' Convention ",2015
151,01st - 31st May 2015,W11 2NN,"Lansdowne Crescent, Notting Hill","
Notting Hill MayFest ",2015
152,01st - 04th May 2015,SE1 8XX,Belvedere Road,"
Campo Viejo Streets Of Spain ",2015
153,01st - 04th May 2015,NW1 2BE,183 Euston Road,"
On Light ",2015
154,9th May to 30th June 2019,SE15 4ST,133 Rye Lane,"
Rooftop Film Club at Bussey Building ",2015
155,01st May - 05th September 2015,EC3N 4AF,"Tower of London, 7 Pepys Street","
Nantucket Beach Club ",2015
156,29th April - 24th September 2016,E8 3DU,Hartwell Street,"
Street Feast London ",2015
157,4th to 12th May 2019,E16 1XL,"One Western Gateway, Royal Victoria Dock","
Grand Designs Live ",2015
158,"4th, 5th and 6th May 2019",W2 1TH  ,Maida Vale,"
Canalway Cavalcade ",2015
159,02nd May 2015,W1F 7TF,8 Argyll Street,"
An Evening With Texas ",2015
160,02nd May - 01st November 2015,E2 9PA,Cambridge Heath Road,"
The Alice Look ",2015
161,03rd - 07th May 2015,SE10 0BB,Peninsula Square,"
Olly Murs: Never Been Better ",2015
162,03rd May 2015,EC2M 7QH,Walthamstow,"
Land Of Kings ",2015
163,05th - 17th May 2015,E1 6SE,"Pedley Street, off Brick Lane","
Hot Tub Cinema: Tub Tropicana Tour ",2015
164,05th May - 23rd June 2015,NW6 6NU,London,"
Tart's Kitchen ",2015
165,Various Venues,WC2N 5DW,London,"
London Craft Week ",2015
166,05th May - 25th September 2016,SE1 8XX,"Jubilee Gardens, Belvedere Road","
London Wonderground ",2015
167,12th - 21st May 2017,SE21 7AD,London,"
Dulwich Festival ",2015
168,08th May - 27th June 2015,W1F 7TF,8 Argyll Street,"
Beyond Bollywood ",2015
169,09th May - 27th June 2015,WC2N 4ES,St Martin's Lane,"
English National Opera: The Pirates of Penzance ",2015
170,09th - 10th May 2015,SE21 7BQ,College Road,"
Weighting ",2015
171,09th - 10th May 2015,E16 1XL,"One Western Gateway, Royal Victoria Dock","
London Pet Show ",2015
172,21st May 2016,W11 2NN,"Lansdowne Crescent, Notting Hill","
Notting Hill May Fair ",2015
173,08th May 2016,E9 5PF,Homerton Road,"
Run Hackney ",2015
174,13th May 2018,WC2E 9ED,Bedford Street,"
Covent Garden May Fayre and Puppet Festival ",2015
175,10th May 2015,SE22 8DT,East Dulwich,"
Dulwich Festival Fair ",2015
176,11th - 26th May 2015,WC2E 9DD,Bow Street,"
Woolf Works ",2015
177,11th - 12th May 2015,SW1H 9NH,Storey's Gate,"
Belle and Sebastian ",2015
178,12th - 16th May 2015,EC1R 4TN,Rosebery Avenue,"
Rambert with Tredegar Town Band and the Rambert Orchestra ",2015
179,12th - 24th May 2015,SE10 8ES,Crooms Hill,"
Avenue Q ",2015
180,12th May - 06th June 2015,SW1E 5JA,12 Palace Street,"
McQueen ",2015
181,12th May - 02nd September 2015,SE10 8ER,12 Crooms Hill,"
Fans Of The Belle Epoque ",2015
182,12th May 2015,E2 9AG,31-35 Coate Street,"
Eaves ",2015
183,13th May 2015,E8 3AS,451 Queensbridge Road,"
Kali Uchis ",2015
184,25th - 27th October 2018,WC2N 5DW,London,"
Museums at Night ",2015
185,14th May - 02nd August 2015,SE1 8XX,"Jubilee Gardens, Belvedere Road","
Scotch & Soda ",2015
186,21st - 23rd January 2016,SW9 9SL,211 Stockwell Road,"
The Maccabees ",2015
187,15th May - 05th March 2016,WC2H 0JP,Charing Cross Road,"
Bend It Like Beckham ",2015
188,17th May - 09th September 2018,NW1 4NR,"Inner Circle, Regent's Park","
Open Air Theatre ",2015
189,27th April - 02nd June 2018,NW1 2AJ,100-110 Euston Road,"
London Burlesque Festival ",2015
190,19th - 29th May 2017,SE1 8XX,Belvedere Road,"
Alchemy ",2015
191,06th May 2016,SE10 0BB,Peninsula Square,"
Channel 4's Comedy Gala ",2015
192,15th - 17th May 2015,SW3 5EE,Kings Road,"
Pop Up Screens at Chelsea Old Town Hall ",2015
193,17th May - 15th June 2018,NW1 4NR,"Inner Circle, Regent's Park","
J.M. Barrie's Peter Pan ",2015
194,16th - 17th May 2015,TW1 1DZ,"Rugby Road, Twickenham","
London Rugby Sevens ",2015
195,16th May - 31st December 2016,NW1 5LR,Marylebone Road,"
Star Wars at Madame Tussauds ",2015
196,16th May - 06th September 2015,E1 6QL,91 Brick Lane,"
Power of Poison ",2015
197,16th - 17th May 2015,SE10 0BB,Peninsula Square,"
S Club 7: Bring It All Back ",2015
198,16th - 17th May 2015,SE9 5QE,"Court Yard, off Court Road","
Art Deco Fair ",2015
199,17th May 2015,WC2N 5DS,Central London,"
BMW LSO Open Air Classics: Shostakovich ",2015
200,15th - 16th May 2016,E1 6QL,91 Brick Lane,"
RAW Artisan Wine Fair ",2015
201,17th May 2015,W1S 4BS,21 Albemarle Street,"
An Audience With UrbanExplorer  ",2015
202,"21st, 22nd and 23rd May 2019",EC1M 4DA,"St. Johns Gate, 26 St. John's Lane, Clerkenwell","
Clerkenwell Design Week ",2015
203,19th - 23rd May 2015,SW3 4SR,Royal Hospital Road,"
RHS Chelsea Flower Show ",2015
204,19th May - 08th August 2015,SW1Y 4HT,Haymarket,"
The Elephant Man ",2015
205,21st - 23rd May 2015,W14 8UX,Hammersmith Road,"
Art15 ",2015
206,21st - 24th May 2015,EC2Y 8DS,Silk Street,"
Ninagawa Company: Hamlet ",2015
207,21st May - 25th July 2015,WC2H 9LD,"41 Earlham Street, Seven Dials","
Temple ",2015
208,"16th, 17th, 18th and 19th May 2019",WC2R 1LA,Strand,"
Photo London ",2015
209,"25th, 26th and 27th May 2019",TW8 8JF,"London Road, Brentford","
Foodies Festival Syon Park ",2015
210,26th May - 20th June 2015,WC2R 0NH,404 Strand,"
Just Jim Dale ",2015
211,27th May - 21st June 2015,SE1 8XX,Belvedere Road,"
Beta Testing: Circus Geeks ",2015
212,27th May - 27th June 2015,SE10 0BB,Peninsula Square,"
Fleetwood Mac: On With The Show Tour ",2015
213,28th - 30th May 2015,EC2Y 8DS,Silk Street,"
Ninagawa Company: Kafka on the Shore ",2015
214,28th - 30th May 2015,W14 8UX,Hammersmith Road,"
The London International Antiquarian Book Fair ",2015
215,30th - 31st May 2015,W2 2UH,Rangers Lodge,"
ITU World Triathlon London ",2015
216,30th May - 02nd June 2015,E1 6QL,91 Brick Lane,"
Graduate Fashion Week ",2015
217,19th May 2018,HA9 0WS,Wembley,"
FA Cup Final ",2015
218,Various Venues,WC2N 5DW,London,"
London Festival of Architecture ",2015
219,01st June 2015,SE10 0BB,Peninsula Square,"
Ariana Grande: The Honeymoon Tour 2015 ",2015
220,01st - 27th June 2015,SE1 9DT,"21 New Globe Walk, Bankside","
King John ",2015
221,02nd - 07th June 2015,EC2Y 8DS,Silk Street,"
Not I/Footfalls/Rockaby ",2015
222,4th June to 3rd August 2019,W8 6LU,Holland Park,"
Opera Holland Park ",2015
223,02nd - 26th June 2016,E1 6LY,Commercial Street,"
Spitalfields Music Summer Festival ",2015
224,02nd June 2015,WC2R 1LA,The New Wing Somerset House,"
Wine Tasting at Pennethorne's Cafe Bar ",2015
225,02nd June - 13th September 2015,W2 2AR,"West Carriage Drive, Kensington Gardens","
Duane Hanson ",2015
226,03rd June - 11th October 2015,SE1 9TG,"Bankside Power Station, 25 Sumner Street","
Agnes Martin ",2015
227,03rd June - 30th September 2015,SE1 9PX,South Bank,"
The Red Lion ",2015
228,04th - 13th June 2015,EC2Y 8DS,Silk Street,"
Waiting for Godot ",2015
229,09th July 2016,W2 2UH,Rangers Lodge,"
Take That ",2015
230,04th June - 27th September 2015,XX1 0LL,Central London,"
Secret Cinema: Empire Strikes Back ",2015
231,30th July - 25th September 2016,E15 2EE,Olympic Park,"
The Floating Cinema on Tour ",2015
232,16th September 2017,EC2M 2QS,Broadgate,"
The Slider Decider ",2015
233,"7th, 8th and 9th June 2019",SW6 3NG,Hurlingham Road,"
Polo in the Park ",2015
234,05th - 07th June 2015,N1 0ER,Copenhagen Street,"
The Londonaise ",2015
235,05th June 2015,SW7 2AP,Kensington Gore,"
Battle of Waterloo Concert ",2015
236,06th June 2015,EC2Y 8DS,Silk Street,"
Nico Muhly Sentences ",2015
237,06th June - 02nd July 2015,WC2N 4ES,St Martin's Lane,"
English National Opera: The Queen of Spades ",2015
238,03rd June - 28th August 2017,SE1 8XX,Belvedere Road,"
Festival of Love ",2015
239,08th July 2018,HA9 0WS,London,"
The Color Run ",2015
240,18th June 2017,E15 2EE,Olympic Park,"
The Big Lunch at the Olympic Park ",2015
241,10th June to 12th August 2019,W1J 0BD,Burlington House,"
Royal Academy Summer Exhibition ",2015
242,09th June - 12th July 2015,WC2A 2HT,Portugal Street,"
The 7 Fingers: Traces ",2015
243,10th June - 20th August 2015,SE1 9PX,South Bank,"
The Motherf**ker With The Hat ",2015
244,10th June - 06th September 2015,SE1 8XZ,Belvedere Road,"
Carsten Holler: Decision ",2015
245,08th - 24th June 2017,KT8 9AU,"East Molesey, Surrey","
Hampton Court Palace Festival ",2015
246,11th - 12th June 2015,KT8 9AU,"East Molesey, Surrey","
Jools Holland & His Rhythm & Blues Orchestra ",2015
247,30th June - 18th July 2016,W4 2RP,Burlington Lane,"
Giffords Circus ",2015
248,11th June - 11th July 2015,SE1 9PX,"National Theatre, South Bank","
We Want You To Watch ",2015
249,"9th, 10th, 11th and 12th May 2019",NW3 1TH,East Heath Road,"
Affordable Art Fair Hampstead ",2015
250,14th June - 03rd September 2016,WC2N 5DE,Northumberland Avenue,"
1984 ",2015
251,13th June 2015,KT8 9AU,"East Molesey, Surrey","
Fanfare and Fireworks with the Royal Philharmonic Concert Orchestra ",2015
252,18th June 2016,WC2N 5DW,London,"
Bushstock ",2015
253,13th June - 18th July 2015,NW3 3EU,Eton Avenue,"
Luna Gale ",2015
254,17th June 2017,N6 6BP,Highgate Village,"
Highgate Fair in the Square ",2015
255,Various Venues,WC2N 5DW,London,"
Open Garden Squares Weekend 2015 ",2015
256,Saturday 8th June 2019,NW1 4NR,Inner Circle,"
World Naked Bike Ride ",2015
257,14th June 2015,W1K 1QZ,150 Old Park Lane,"
Hard Rock Cafe Birthday ",2015
258,15th - 17th June 2015,WC2N 5DW,London,"
London Collections: Men ",2015
259,16th - 18th June 2015,KT8 9AU,"East Molesey, Surrey","
Paloma Faith ",2015
260,17th June 2015,KT8 9AU,"East Molesey, Surrey","
Alan Davies and Paul Merton's Impro Chums ",2015
261,13th June to 20th October 2019,WC2H 0HE,St Martin's Place,"
BP Portrait Award ",2015
262,"12th, 13th and 14th July 2019",W2 2UH,Rangers Lodge,"
Barclaycard presents British Summer Time Hyde Park ",2015
263,18th - 28th June 2015,W14 8UX,Hammersmith Road,"
Olympia International Art & Antiques Fair ",2015
264,19th June - 11th July 2015,NW1 4NR,"Inner Circle, Regent's Park","
The Seagull ",2015
265,19th - 21st June 2015,EC2Y 8DS,Silk Street,"
Krapp's Last Tape ",2015
266,19th June 2015,KT8 9AU,"East Molesey, Surrey","
Alfie Boe ",2015
267,19th June - 22nd August 2015,SE1 8LZ,66 The Cut,"
The Trial ",2015
268,19th - 28th June 2015,W11 3AG,London,"
InTransit Festival ",2015
269,20th June 2015,KT8 9AU,"East Molesey, Surrey","
Peter Andre ",2015
270,20th June 2015,W2 2UH,Rangers Lodge,"
Blur ",2015
271,Saturday 22nd and Sunday 23rd June 2019,WC2N 5DS,Central London,"
West End LIVE ",2015
272,20th - 28th June 2015,EC1R 4TN,Rosebery Avenue,"
Paco Pena Flamenco Dance Company: Flamencura ",2015
273,21st June 2015,W2 2UH,Rangers Lodge,"
Kylie Minogue, Grace Jones and Chic feat Nile Rodgers ",2015
274,21st June 2015,SW1A 2AX,Whitehall,"
The New Waterloo Dispatch: Battle Of Waterloo Bicentenary Parade ",2015
275,21st June 2015,N22 7AY,"Alexandra Palace Way, Wood Green","
U.N. International Yoga Day at Alexandra Palace ",2015
276,22nd June - 13th July 2015,WC2N 5DW,London,"
City of London Festival ",2015
277,23rd June 2015,KT8 9AU,"East Molesey, Surrey","
Burt Bacharach ",2015
278,23rd - 26th June 2015,SW6 3PR,Ranelagh Gardens,"
BNP Paribas Tennis Classic ",2015
279,24th June - 25th October 2015,SW1P 4RG,Millbank,"
Barbara Hepworth ",2015
280,24th June - 07th November 2015,WC2R 0NH,404 Strand,"
The Importance Of Being Earnest ",2015
281,24th June - 19th July 2015,SE1 8XX,Belvedere Road,"
Barely Methodical Troupe: Bromance ",2015
282,24th June - 25th July 2015,EC2Y 8DS,Silk Street,"
To Kill A Mockingbird ",2015
283,24th June - 11th October 2015,SW7 2RL,Cromwell Road,"
Captain Linnaeus Tripe: Photographer Of India And Burma, 1852-1860 ",2015
284,25th June - 18th October 2015,W2 3XA,Kensington Gardens,"
Serpentine Gallery Pavilion 2015: SelgasCano ",2015
285,From 25th June 2015,E1 6LP,40 Commercial Street,"
The Culpeper: Rooftop Bar, Grill and Greenhouse ",2015
